;borough;neighborhood;zip_code;latitude;longitude;landsqmi;density;median_house_value;median_age;avg_household_size;avg_agi;avg_wage;total_population;nb_positive_covid19;perc_pop_positive_covid19;medical_center;arts_entertainment;nightlife_spot;outdoors_recreation;shop_service;food
54;Bronx;High Bridge and Morrisania;10451;40.819728999999995;-73.9223;1.01;48231.0;176442.0;33.6;2.6;28443.0;29039.0;48713.31;1108;0.02274532360868108;41.0;15.0;10.0;28.0;40.0;45.0
55;Bronx;High Bridge and Morrisania;10452;40.838745;-73.92234;0.98;80364.0;249425.0;31.3;3.0;24210.0;26004.0;78756.72;1488;0.018893625839166487;16.0;6.0;14.0;19.0;46.0;43.0
56;Bronx;Central Bronx;10453;40.853017;-73.91214000000001;0.92;91091.0;495251.0;30.3;3.0;23540.0;25317.0;83803.72;1547;0.01845980106849672;19.0;3.0;10.0;8.0;42.0;45.0
57;Bronx;Hunts Point and Mott Haven;10454;40.805968;-73.91628;1.04;37627.0;447682.0;29.6;2.9;23515.0;25148.0;39132.08;747;0.019089197405300202;5.0;6.0;5.0;15.0;40.0;43.0
58;Bronx;Hunts Point and Mott Haven;10455;40.815559;-73.90771;0.71;60636.0;326906.0;31.3;2.9;24964.0;26396.0;43051.56;831;0.019302436427390785;10.0;4.0;5.0;17.0;41.0;43.0
59;Bronx;High Bridge and Morrisania;10456;40.829676;-73.90856;1.02;94316.0;408323.0;30.7;3.1;23501.0;24944.0;96202.32;1596;0.016590036498080295;25.0;6.0;6.0;12.0;40.0;37.0
60;Bronx;Central Bronx;10457;40.846745;-73.89860999999999;1.06;72345.0;456904.0;29.6;3.0;23696.0;25606.0;76685.7;1362;0.017760808077646812;12.0;2.0;10.0;19.0;40.0;43.0
61;Bronx;Bronx Park and Fordham;10458;40.864166;-73.88880999999999;1.01;85638.0;415970.0;29.1;3.0;25762.0;27607.0;86494.38;1342;0.015515458923458379;29.0;10.0;18.0;31.0;45.0;42.0
62;Bronx;Hunts Point and Mott Haven;10459;40.825432;-73.89327;0.82;60728.0;428790.0;31.1;3.0;25885.0;27412.0;49796.96;996;0.02000122095806652;21.0;7.0;4.0;20.0;43.0;42.0
63;Bronx;Central Bronx;10460;40.84095;-73.88036;1.32;46876.0;465675.0;31.9;2.9;26068.0;27831.0;61876.32;1097;0.01772891471244573;15.0;11.0;7.0;11.0;40.0;40.0
64;Bronx;Southeast Bronx;10461;40.842917;-73.83819;2.4;21574.0;498175.0;38.5;2.6;46308.0;47000.0;51777.6;1328;0.02564815673186861;36.0;5.0;11.0;14.0;42.0;37.0
65;Bronx;Southeast Bronx;10462;40.842172999999995;-73.85862;1.48;54293.0;291258.0;36.1;2.7;38046.0;39238.0;80353.64;1611;0.020048873952692125;22.0;22.0;7.0;34.0;45.0;43.0
66;Bronx;Kingsbridge and Riverdale;10463;40.881085999999996;-73.90749;1.45;51125.0;308014.0;39.1;2.5;58769.0;51906.0;74131.25;1261;0.01701037012056319;39.0;9.0;23.0;42.0;46.0;47.0
67;Bronx;Southeast Bronx;10464;40.857017;-73.78903000000001;3.5;1309.0;556651.0;45.2;2.3;76969.0;67014.0;4581.5;103;0.022481719960711556;0.0;1.0;4.0;9.0;9.0;16.0
68;Bronx;Southeast Bronx;10465;40.825727;-73.81752;3.43;13097.0;504585.0;42.0;2.7;55394.0;53939.0;44922.71;1128;0.025109794133078792;22.0;5.0;16.0;16.0;35.0;45.0
69;Bronx;Northeast Bronx;10466;40.89095;-73.84702;2.02;36988.0;459940.0;36.6;3.1;35211.0;36075.0;74715.76;1727;0.02311426665538837;4.0;4.0;1.0;2.0;40.0;21.0
